acur,
Raspberry,
Mediterrenian,spices
Mediterrenian,greenery
Pineapple,
Pear,
Pear,2.quality
Pear,Akca
Pear,Ankara
Pear,Cameleer
Pear,Other
Pear,Santamaria
asparagus,
avocado,
Quince,
Quince,Second
broad beans,
broad beans,Chewing gum
Okra,
Kidney bean,
Pea,
Pea,Araka
Pea,Sultana
Pepper,capia
Pepper,Capia Greenhouse
Pepper,Capya Field
Pepper,Filling
Pepper,Stuffed Antalya
Pepper,Stuffed Greenhouse
Pepper,StuffedSecond
Pepper,Bay
Pepper,Red
Pepper,Colourful
Pepper,Pointed
Pepper,Pointed Greenhouse
Pepper,PointedSecond
Pepper,Charlie
Pepper,Charlie Antalya
Pepper,Charlie Greenhouse
Pepper,CzarliSecond
Pepper,Second
Pepper,StuffedColorfulGreenhouse
Pepper,Village II.
Pepper,bristle
Pepper,Pointed Bristle
Broccoli,
Broccoli,Package
Blackberry,
Dill,
Dill,II.
Tomatoes,
Tomatoes,Beef
Tomatoes,Antalya
Tomatoes,Luxury
Tomatoes,Pink
Tomatoes,Cluster
Tomatoes,Greenhouse
Tomatoes,cocktail
Tomatoes,Canakkale
Tomatoes,Cherry
Tomatoes,second quality
Tomatoes,honeycomb
Tomatoes,Field
Mulberry,
Mulberry,White
Mulberry,Black
Apple,2. Quality
Apple,Amasya
Apple,Scrub
Apple,Minus
Apple,golden
Apple,granite
Apple,gransimit
Apple,starkin
Apple,red
Apple,GoldenII.
Apple,Amasya II.
Apple,fuji
Apple,premiere
Apple,gransimitII.
Apple,starkin II.
Apple,starking
Artichoke,
Plum,
Plum,angelic
Plum,Life
Plum,Red
Plum,Red
Plum,Luxury
Plum,Malta
Plum,Malta
Plum,Priest
Plum,Red
Plum,Maltasecond
Plum,Plum
Bean,2.Quality
Bean,Bead
Bean,Place
Bean,Bush
Bean,Sugar
Bean,Bush II.
Bean,Bush Greenhouse
Basil,
raspberry,
ginger,Ginger
Grapefruit,
Grapefruit,II.
Lettuce,
Lettuce,Greenhouse
Lettuce,imported
Lettuce,2.Quality
Lettuce,6's
Lettuce,Beypazari
Lettuce,Other
Lettuce,Finike
Lettuce,Tarsus
Lettuce,Greenhouse Tarsus
Lettuce,Izmir
Carrot,Beypazari
Carrot,BeypazariBig
Carrot,Second
Carrot,I.
India,walnut
India,Nuts Fresh
Date,
Spinach,
Spinach,Greenhouse
Spinach,II.
Courgette,Honey
Courgette,Fish.
Courgette,Chewing gum
Courgette,Gum Greenhouse
Courgette,Sakızsecond
carambola,
Cauliflower,
Cauliflower,Piece
Watermelon,
Watermelon,1.Quality
Watermelon,2.Quality
Watermelon,Greenhouse
Watermelon,Emergence
Watermelon,Emergence
Watermelon,Coreless
Melon,
Melon,Gaul
Melon,Kırkağaç
Melon,greenhouse
Melon,Emergence
Melon,2.Quality
Melon,Finike
Apricot,
Apricot,Iğdır
Apricot,Malatya
Apricot,Buckled
Apricot,Second
Apricot,I.
Celery,
Chestnut,
Cherry,
Cherry,Napoleon
Cherry,Salihli
Cherry,II.
Beam,
Kiwi,
Kiwi,Local
Kiwi,Pouring
Lamb,ear
Asparagus,
Curly,
Curly,2.Quality
Cranberry,
Cabbage,white piece
Cabbage,White
Cabbage,White Cv
Cabbage,Brussels
Cabbage,Black
Cabbage,Red
limes,
Lemon,
Lemon,Enter
Lemon,Lamas
Lemon,Mayer
Lemon,Emergence
Mandarin,
Mandarin,2.quality
Mandarin,Hatay
Mandarin,king
Mandarin,Cyprus
Mandarin,satsuma
Mandarin,Izmir
Mandarin,I.
Mandarin,second
Mango,
Mushroom,
Mushroom,Package
Mushroom,Oyster
Lettuce,
Lettuce,Greenhouse
Lettuce,8's
Lettuce,II.
Lettuce,II.
Parsley,
Parsley,II.
Parsley,of 150
Banana,1. Quality
Banana,2. Quality
Banana,Local
Banana,Native II.
Medlar,
Sweetcorn,
Sweetcorn,Fresh
Mint,single
Mint,II.
Pomegranate,
Pomegranate,II.
nectarine,
nectarine,
nectarine,White
nectarine,II.
Beet,
Beet,Bag
Papaya,
Potatoes,
Potatoes,1st quality
Potatoes,2.quality
Potatoes,Giant
Potatoes,Package
Potatoes,Fresh
Potatoes,New
Aubergine,Second
Aubergine,Antalya Greenhouse
Aubergine,Truck farm
Aubergine,BostanSea
Aubergine,I.
Aubergine,Greenhouse
Chard,
pepino,
Pitahaya,dragon fruit
pomelo,
Orange,
Orange,2.quality
Orange,Finike Çavdir
Orange,Squeeze
Orange,Valencia
Orange,Washington
Orange,luxury
Psalis,
Leek,
Basil,
Rocket,
Rocket,II.
Salad,Silor
Salad,Cengelkoy silor
Salad,Antalya
Salad,Cengelkoy II.
Cucumber,I.
Cucumber,acrid
Cucumber,Second
Salihli,Cherry
Garlic,
Garlic,Dry
Garlic,Green
Garlic,II.
Purslane,
Onion,Stye
Onion,Red fish
Onion,Fresh
Onion,Tekirdag
Onion,Dry
Onion,Dry II.
Onion,drysecond
Onion,Freshly Grounded
Onion,Dry
dill,
Radish,
Radish,Japanese
Radish,Red
Radish,Turnip
Cherry,
Leaf,Brine
Leaf,Fresh
Place,apple
pomegranate ,
unripe almond,Almond
Strawberry,
Strawberry,Uludag
Strawberry,II.
Strawberry,I.
Strawberry,Uludag
Grape,
Grape,2.quality
Grape,Red
Grape,Müsküle
Grape,Rezzaki
Grape,Black
Grape,blackLuxury
Grape,Sergeant
Grape,Seedless
Grape,Seedless
Grape,Izmir
Grape,Black
Grape,redglobe
Fig,
Fig,Black
Fig,White
Fig,Poplar
Peach,
